"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000013288",5.20223365072332e-07,NA,NA,NA,NA,1.64214534292218e-07,NA,NA,NA,NA,9.88179486091197e-07,NA
"ENSG00000008282",0.00010438817236604,5.0861260483703e-05,2.35544803261352e-05,4.63183924358344e-05,0.000128672324892356,0.000122982592831892,0.000108133141908067,7.33605025888079e-05,3.66944826477919e-05,0.000378811185215672,2.21106210831689e-05,6.91738919184926e-05
"ENSG00000010256",2.42825129489058e-05,0.00039086360564966,7.27334534910521e-05,2.45682891059053e-05,0.000126325912501328,0.000163032621917294,8.77106680836615e-05,1.52512676593663e-05,2.9061105963681e-05,0.000119722768218473,2.37181923616864e-05,3.27921059123191e-06
"ENSG00000000971",3.63351614284254e-05,0.000335833544367867,0.000184807671016561,0.000295626093833944,0.000156192191339932,0.000184892158672143,0.000203382541011182,7.74928251103322e-05,0.000104985898885793,0.000130676590284218,0.000115057695696878,0.000539135217714202
"ENSG00000012660",NA,NA,1.2948361774608e-06,NA,NA,NA,NA,NA,4.95499518731279e-07,NA,NA,NA
"ENSG00000015532",NA,NA,4.72133540576334e-07,NA,3.88255429706238e-07,NA,NA,NA,NA,NA,NA,NA
"ENSG00000018510",NA,5.27721040428275e-07,3.8622729457713e-06,NA,5.16177867410654e-05,NA,NA,NA,3.3639778535805e-06,3.52490513165275e-06,5.77405668345501e-06,1.66587945827059e-06
"ENSG00000001036",1.68163338229982e-05,9.71196963750363e-07,4.78499742057569e-05,NA,3.80239126841634e-06,NA,NA,NA,2.01568699594579e-05,1.0486146285894e-06,1.54735155607765e-05,NA
"ENSG00000010322",NA,2.87196372401918e-07,1.31369500615646e-06,NA,9.474398314269e-07,5.81598883321604e-06,3.32814174084731e-06,8.76943248803386e-07,1.93799528451138e-06,1.70725182249113e-06,NA,3.32302237090028e-06
"ENSG00000004961",NA,2.17702093805849e-06,NA,NA,2.23838357831549e-06,NA,NA,NA,2.9680640181339e-07,4.5697990074172e-06,NA,4.27677894161616e-06
"ENSG00000002726",NA,0.000388285409963402,NA,NA,4.78275183494607e-05,NA,NA,NA,NA,NA,NA,NA
"ENSG00000011405",NA,NA,NA,7.22687992580383e-08,1.93573436884786e-07,NA,NA,NA,5.19196504611681e-08,2.3220448028096e-08,5.40127861326849e-08,NA
"ENSG00000001561",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11369989582873e-06,3.5854139426743e-06,NA
"ENSG00000015479",9.46039267171329e-06,1.86971132671307e-05,0.000252041265185135,3.16066554398441e-05,0.000105556449050095,2.27716485795937e-05,0.0001839262363302,1.37146968692437e-05,3.19820584019072e-05,8.41434082025479e-05,3.86583820711543e-05,1.41261284497698e-05
"ENSG00000004776",0.000111868852678301,0.000152105317162887,0.000135804665448049,0.000308913433806517,0.000704520322131396,0.00121069030313146,0.00143677674800504,0.000779357532099061,0.00120247925299468,0.000145802237240688,2.13177282650534e-05,0.000393203519974478
"ENSG00000000003",NA,NA,NA,NA,9.15783111113745e-07,NA,NA,NA,NA,9.02726211937836e-06,NA,NA
"ENSG00000008869",NA,8.29029909150767e-07,NA,NA,3.62831670233171e-06,NA,NA,NA,8.6071634639827e-08,2.68455584668338e-06,NA,1.15864842869835e-06
"ENSG00000000419",9.96648441566619e-06,1.89426495657423e-05,4.2579067306916e-05,1.57556730472874e-06,3.2823415925656e-05,2.11975312897024e-05,3.91678389135085e-05,3.930635163178e-06,1.01650016624175e-05,4.04857437533991e-05,5.0922131960495e-06,1.60740489669251e-05
"ENSG00000008838",NA,NA,6.73907761131812e-07,NA,2.65944210291272e-07,NA,2.29842789576531e-07,NA,1.45480243737513e-07,3.81234930631835e-07,NA,NA
"ENSG00000011198",NA,NA,NA,1.11726489181247e-06,2.81210819489523e-06,NA,NA,NA,3.21587689918075e-06,1.71583318489821e-06,NA,NA
"ENSG00000004939",0.000268147181224798,1.86355761398056e-05,8.86862112773262e-06,0.00019912864337975,1.05196538364285e-05,8.89015002636986e-06,1.47916738754926e-05,0.000439982148387863,1.52219696606049e-05,2.87991836303349e-05,0.000159111489373445,8.2011236898194e-05
"ENSG00000006747",NA,6.12823416922863e-06,2.62171379346244e-06,4.00370617625732e-07,8.82127330885637e-05,NA,3.28290171636926e-06,NA,NA,7.01995772878375e-07,NA,1.21069037839983e-05
"ENSG00000005243",NA,NA,1.91111278564039e-06,NA,NA,NA,NA,NA,2.44993774661955e-06,NA,NA,8.25063682800156e-06
"ENSG00000004455",8.81609487048865e-05,0.00126429723458273,0.000152450748500691,0.000344546699457222,0.000383508215653362,0.00010299970622134,0.000272422238990032,5.48762531652104e-05,0.000405853306005912,0.000632440432508154,0.000249939915120222,0.000247458558079844
"ENSG00000018236",NA,NA,4.09976951690277e-06,1.98057959317198e-07,NA,8.60652617679557e-05,2.68303348610573e-05,1.36133744060237e-06,1.8618994943999e-07,1.00677061467144e-06,9.68847986430854e-08,1.58196265135537e-06
"ENSG00000005175",NA,NA,3.39708730998062e-06,NA,2.99701451289258e-06,NA,1.35985094372946e-06,NA,4.16733832453588e-07,1.17461638330964e-06,1.37583810679576e-06,NA
"ENSG00000007062",NA,NA,NA,NA,2.0567558630837e-06,2.49359963672799e-06,NA,NA,NA,8.50058031483677e-07,NA,NA
"ENSG00000011105",NA,3.27012054379679e-06,NA,NA,NA,9.48568212711221e-07,7.62700248695182e-06,1.85159508375731e-06,NA,NA,NA,NA
"ENSG00000021574",NA,NA,NA,5.3621885257913e-07,1.31643662065127e-06,NA,NA,NA,NA,2.81749396842885e-06,NA,8.0911885367677e-06
"ENSG00000010244",NA,3.14958382191398e-06,1.63400143274526e-05,3.85735965691541e-06,1.76274746990153e-05,NA,4.28620584307025e-05,NA,7.88028304838105e-06,NA,NA,3.160366248132e-06
"ENSG00000013503",NA,NA,1.68402529283561e-07,NA,NA,NA,NA,NA,1.60592709674982e-07,3.17106372060963e-08,NA,NA
"ENSG00000010278",0.00018333065243314,8.66304172188182e-05,0.000282392241076286,3.46919582446185e-05,0.000117126890841901,0.00051220957889094,9.54006619228164e-05,0.00016992455059381,3.48128238814828e-05,0.000128111244487847,1.85959414019923e-05,0.00115927507389444
