"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000020922",1.07999999878906e-05,6.40000000023745e-06,8.50000000559185e-06,2.79999999779363e-06,6.99999999977021e-06,8.90000000727681e-06,9.49999999368158e-06,7.19999999285017e-06,6.40000000023745e-06,5.59999999992005e-06,1.12999999874218e-05,7.49999999323558e-06
"ENSG00000007933",NA,1.12999999874218e-05,NA,2.29999999990683e-06,5.20000000437271e-06,1e-06,NA,NA,1.31999999937434e-05,4.19999999615196e-06,NA,4.70000000069567e-06
"ENSG00000005249",1.47999999865405e-05,9.09999999327196e-06,2.75999999958553e-05,8.3999999988031e-06,9.59999999912535e-06,1.42999999846869e-05,5.0699999961086e-05,2.6000000001747e-06,6.63999999437332e-05,1.42999999846869e-05,2.97999999947676e-05,2.46999999852318e-05
"ENSG00000009335",2.21000000160238e-05,2.0099999980539e-05,3.11999999986751e-05,1.17999999916824e-05,2.13999999827935e-05,2.10999999855367e-05,2.22999999975271e-05,1.9599999983912e-05,1.77999999873397e-05,2.01999999792265e-05,1.92999999996545e-05,3.10999999980782e-05
"ENSG00000010327",1.3300000001008e-05,1.23999999953679e-05,1.35999999884066e-05,4.79999999584886e-06,2.17000000075684e-05,1.52000000019329e-05,6.40000000023745e-06,8.1000000022633e-06,6.86000000463207e-05,1.19999999986841e-05,0.000117799999877646,1.43999999968418e-05
"ENSG00000001630",1.42999999846869e-05,2.00000000154742e-05,4.83000000276355e-05,1.44999999921548e-05,2.97999999947676e-05,2.92999999761097e-05,1.55999999872676e-05,1.87999999885857e-05,3.86000000291743e-05,7.80000000555902e-06,8.99999999089575e-06,2.22999999975271e-05
"ENSG00000017260",3.65999999667612e-05,4.04999999799812e-05,3.34000000144919e-05,1.29999999908153e-05,3.47000000167091e-05,0.000106699999895714,3.01000000281498e-05,3.80000000335284e-05,4.15000000275116e-05,2.61999999807105e-05,2.34999999852962e-05,2.81000000061416e-05
"ENSG00000006453",4.10000000264587e-06,5.80000000583697e-06,1.43999999968418e-05,8.70000000764002e-06,5.0499999986202e-05,2.13999999827935e-05,1.09999999959924e-06,1.58000000016581e-05,9.19999999267983e-06,1.03999999928451e-05,1.90000000020637e-06,1.60999999988193e-05
"ENSG00000005194",1.43999999968418e-05,2.15999999924933e-05,5.40999999867247e-05,6.80000000459963e-06,1.6599999998469e-05,1.38999999918674e-05,9.40000000866424e-06,1.49999999980768e-05,1.88999999924606e-05,1.09999999959924e-05,1.5400000005799e-05,1.8300000011359e-05
"ENSG00000011454",3.34999999971579e-05,2.17000000075684e-05,3.11999999986751e-05,9.09999999327196e-06,1.8399999999596e-05,3.28000000217754e-05,2.67999999982235e-05,4.74000000355712e-05,1.9200000013106e-05,2.0099999980539e-05,2.18000000198474e-05,3.62000000389123e-05
"ENSG00000017797",2.17000000075684e-05,4.24000000397614e-05,1.3300000001008e-05,6.09999999984877e-06,2.29999999990683e-05,2.5000000018879e-05,2.43999999809691e-05,2.20000000090065e-05,1.85999999906671e-05,1.5400000005799e-05,2.12999999784821e-05,3.99999999697935e-05
"ENSG00000015285",4.30000000416256e-06,3.19999999764285e-06,3.10000000118296e-06,1.79999999957183e-06,1.07999999878906e-05,2.90000000067472e-06,2.29999999990683e-06,2.20000000090065e-06,6.40000000023745e-06,5.20000000437271e-06,7.1500000032749e-05,6.09999999984877e-06
"ENSG00000016391",3.80000000335284e-06,4.35000000045436e-05,5.20000000437271e-06,7.10000000459266e-06,8.90000000727681e-06,7.29999999797527e-06,1.29999999908153e-06,1.69999999851929e-06,1.90000000020637e-06,1.58000000016581e-05,NA,NA
"ENSG00000008952",6.99000000409328e-05,0.000102300000067802,4.10000000264586e-05,5.40999999867247e-05,8.3700000001299e-05,8.41000000391338e-05,6.78999999561448e-05,0.000110299999888203,8.19000000451807e-05,8.86000000230427e-05,8.13000000759905e-05,4.21000000159301e-05
"ENSG00000006715",3.13000000326879e-05,2.60999999796702e-05,2.45999999941442e-05,1.27000000012879e-05,2.4899999994511e-05,2.29999999990683e-05,3.15000000152606e-05,4.19000000032518e-05,2.33999999779013e-05,1.24999999997681e-05,2.88000000159665e-05,2.8599999991502e-05
"ENSG00000004975",2.88000000159665e-05,1.34999999846128e-05,2.08999999946556e-05,8.0000000001484e-06,1.28999999911113e-05,2.37999999969031e-05,3.8200000007766e-05,2.10000000128661e-05,1.69000000150334e-05,1.42999999846869e-05,2.01999999792265e-05,2.24999999942305e-05
"ENSG00000013364",4.13999999884751e-05,7.03999999769633e-05,4.30999999840488e-05,2.08000000017835e-05,0.000107699999926104,3.19999999764285e-05,6.65999999738839e-05,2.39000000028541e-05,7.71999999403197e-05,3.41999999955795e-05,7.86999999349327e-05,4.3200000018411e-05
"ENSG00000010292",1.22999999875555e-05,7.59999999508625e-06,2.19000000080623e-05,3.80000000335284e-06,1.29999999908153e-05,8.1000000022633e-06,8.29999999281268e-06,1.18999999892444e-05,6.80000000459963e-06,8.99999999089575e-06,1.69999999851929e-05,1.36999999950661e-05
"ENSG00000008988",0.000767499999736286,0.000478899999953016,0.000391999999981535,0.000540399999564498,0.000547100000280332,0.000625599999925394,0.00178720000094018,0.000716200000534503,0.000669900000322228,0.000897100000669887,0.000709200000116138,0.000777399999471498
"ENSG00000005436",1.3399999988744e-05,1.04999999983091e-05,1.20999999911833e-05,5.4000000022012e-06,8.0000000001484e-06,1.24999999997681e-05,1.12000000085057e-05,1.37999999872504e-05,9.80000000693896e-06,7.49999999323558e-06,8.99999999089575e-06,8.59999999517681e-06
